Country Name,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Albania,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,2,2,2,2,2,2,2,2,2,2,2,2
Angola,2,2,1,1,2,2,2,2,2,2,3,3
Argentina,5,5,4,4,5,6,6,6,6,7,7,7
Armenia,0,0,0,0,0,0,0,0,0,0,0,0
Australia,6,6,5,6,7,7,7,8,8,8,8,8
Austria,2,2,2,2,2,2,2,2,3,3,3,3
Azerbaijan,1,1,1,1,1,1,1,1,1,1,1,1
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,9,9,9,9,10,11,11,12,12,12,13,13
Belarus,1,1,1,1,1,1,1,1,1,1,1,1
Belgium,3,3,2,3,3,3,3,3,3,3,3,3
Belize,0,0,0,0,0,0,0,0,0,0,0,0
Benin,1,1,1,1,1,1,1,1,1,1,1,1
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,1,1,1,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,25,25,19,19,22,25,27,29,30,32,33,34
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,1,1,1,1,1,1,1,1,1,1,1,1
Burkina Faso,1,1,1,1,1,1,1,1,1,2,2,2
Burundi,0,0,0,0,1,1,1,1,1,1,1,1
Cambodia,1,1,1,1,1,1,1,1,1,1,1,1
Cameroon,1,1,1,2,2,2,2,2,2,2,2,2
Canada,8,8,8,8,8,9,9,9,9,9,9,10
Chad,1,1,1,1,1,1,1,1,1,1,1,1
Chile,3,2,2,2,3,3,4,4,4,4,5,5
China,55,56,57,60,63,67,70,74,78,82,85,87
Colombia,3,3,3,3,3,4,4,4,5,5,5,5
Costa Rica,0,0,0,0,1,1,1,1,1,1,1,1
Croatia,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,1,1,1,1,1,1,1,1,2,2,2,2
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,1,1,1,1,1,2,2,2,2,2,2,2
Denmark,2,2,2,2,2,2,2,2,2,2,2,2
Dominican Republic,1,1,1,1,1,1,1,1,1,1,1,1
Ecuador,1,1,1,1,1,1,1,1,1,1,1,1
Egypt,4,5,5,6,6,7,7,7,8,9,9,9
El Salvador,0,0,0,0,0,0,0,0,1,1,1,1
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,5,5,5,5,5,5,5,5,6,6,6,6
Fiji,0,0,0,0,0,0,0,0,0,0,0,0
Finland,1,1,1,1,1,1,2,2,2,2,2,2
France,17,17,16,17,17,17,17,17,18,18,18,19
Gabon,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0
Germany,20,19,19,20,19,20,20,20,21,21,21,22
Ghana,2,2,1,2,2,2,2,2,2,2,2,3
Greece,1,1,1,1,1,1,1,1,1,1,1,1
Guatemala,1,1,1,1,1,2,2,2,2,2,2,2
Guinea,1,1,1,1,1,1,1,1,1,1,1,1
Guyana,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,1,1,1,1,1,1,1,1,1,1,1,1
Honduras,1,1,1,1,1,1,1,1,1,1,1,1
Hungary,1,1,1,1,1,1,1,1,1,1,1,1
Iceland,0,0,0,0,0,0,0,0,0,0,0,0
India,26,27,25,26,29,31,32,33,33,35,36,36
Indonesia,7,7,7,7,8,9,9,10,10,11,11,11
Iran,5,7,8,8,8,9,9,9,10,10,10,10
Iraq,3,3,3,2,3,3,3,3,4,4,4,4
Ireland,1,1,1,1,1,1,1,1,1,1,1,1
Israel,2,2,2,2,2,3,3,3,3,3,3,3
Italy,12,12,11,12,12,12,12,12,12,13,13,13
Ivory Coast,1,1,1,1,2,2,2,2,2,2,2,2
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0
Japan,41,42,42,44,44,47,48,49,50,52,53,54
Jordan,1,1,1,1,1,1,1,1,1,1,1,1
Kazakhstan,2,2,1,2,2,2,2,2,2,2,2,2
Kenya,2,2,2,2,2,2,2,2,3,3,3,3
Kuwait,1,1,1,1,1,1,1,1,1,1,1,1
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0
Laos,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,1,1,0,0,0,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,1
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,1,1,1,1,1,2,2,2,2,2,2,2
Malawi,1,1,1,1,1,1,1,1,1,1,1,2
Malaysia,3,3,3,3,3,3,3,3,3,4,4,4
Malta,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,8,9,7,8,9,9,9,10,10,10,11,11
Moldova,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,1,1,1,2,2,2,2,2,2,2,3,3
Mozambique,2,2,2,1,2,2,2,2,2,2,2,2
Myanmar,2,2,3,3,3,3,3,3,3,4,4,4
Namibia,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,2,1,1,2,2,2,2,2,2,2,2,2
Netherlands,4,4,4,4,4,4,4,4,4,4,4,4
New Zealand,1,1,1,1,1,1,1,2,2,2,2,2
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0
Niger,1,1,1,1,1,1,1,2,2,2,2,2
Nigeria,5,5,5,5,7,8,10,11,13,15,16,17
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0
Norway,2,1,1,1,1,2,2,2,2,2,2,2
Oman,0,0,0,0,0,0,0,0,0,0,0,1
Pakistan,5,5,4,4,5,5,5,5,5,5,5,6
Panama,0,0,0,0,0,1,1,1,1,1,1,1
Papua New Guinea,0,0,0,0,0,0,0,0,1,1,1,1
Paraguay,0,0,0,0,0,0,1,1,1,1,1,1
Peru,2,2,2,2,2,3,3,3,3,3,4,4
Philippines,6,6,6,6,6,6,6,7,7,7,7,7
Poland,5,5,5,5,5,5,6,6,6,7,7,7
Portugal,2,2,2,2,2,2,2,2,2,2,2,2
Qatar,0,0,0,0,1,1,1,1,1,1,1,1
Republic of the Congo,0,0,0,0,0,0,0,0,0,0,1,1
Romania,2,2,2,2,2,2,2,2,2,2,2,2
Russia,17,18,14,16,13,16,17,17,17,18,18,18
Rwanda,1,1,1,1,1,1,1,1,1,1,1,1
Saudi Arabia,5,5,5,5,5,6,6,6,6,7,7,7
Senegal,1,1,1,1,1,1,1,1,1,1,1,1
Serbia,1,1,1,1,1,1,1,1,1,1,1,1
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,1,1,1,1,1,1,1,1,1,1,1,1
Slovakia,1,1,1,1,1,1,1,1,1,1,1,1
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,4,4,3,3,4,4,4,4,5,5,5,5
South Korea,13,13,13,14,14,15,15,15,16,16,17,17
Spain,9,9,9,9,9,10,10,10,10,11,11,11
Sri Lanka,1,1,1,1,1,1,1,2,2,2,2,2
Sudan,1,1,1,1,1,1,2,2,2,2,2,2
Suriname,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,2,2,2,2,2,2,2,3,3,3,3,3
Switzerland,3,3,3,3,3,3,3,3,3,3,3,3
Tajikistan,0,0,0,0,0,0,0,1,1,1,1,1
Tanzania,3,3,3,3,3,3,4,4,4,4,4,4
Thailand,5,5,5,5,6,6,7,7,7,8,8,8
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,1,1,1,1,1,1,1
Tunisia,1,1,1,1,1,1,1,1,1,1,1,1
Turkey,6,6,6,6,6,7,8,8,8,9,9,9
Turkmenistan,0,0,0,0,0,1,1,1,1,1,1,1
Uganda,2,2,2,2,3,3,3,3,3,3,4,4
Ukraine,3,3,3,3,2,3,3,3,3,3,3,3
United Arab Emirates,1,1,1,1,1,1,1,1,1,1,1,1
United Kingdom,16,16,15,17,16,17,17,17,17,18,18,19
United States of America,86,89,85,87,93,98,100,103,105,108,110,112
Uruguay,1,0,0,0,0,1,1,1,1,1,1,1
Uzbekistan,1,1,1,1,1,1,1,1,1,1,1,1
Vietnam,2,2,2,2,2,3,3,3,3,3,3,3
Zambia,1,1,1,1,1,1,1,1,1,1,1,1
Zimbabwe,0,0,0,0,1,1,1,1,1,1,1,1